match_id,ball,city,batting_team,toss_decision,target,bowling_team,current_score,runs_left,balls_left,wickets_left,crr,rrr,result
153,1,Port Elizabeth,Royal Challengers Bangalore,bat,157,Mumbai Indians,44,114,77,7,6.1395348837209305,8.883116883116884,0
139,3,Durban,Kings XI Punjab,bat,145,Royal Challengers Bangalore,97,49,27,7,6.258064516129032,10.88888888888889,0
7944,7,Bengaluru,Sunrisers Hyderabad,field,222,Royal Challengers Bangalore,187,36,11,8,10.293577981651376,19.636363636363637,0
7937,6,Indore,Kings XI Punjab,field,250,Kolkata Knight Riders,129,122,42,5,9.923076923076923,17.428571428571427,0
67,5,Chennai,Mumbai Indians,field,208,Chennai Super Kings,162,47,19,4,9.623762376237623,14.842105263157896,0
11329,2,Hyderabad,Sunrisers Hyderabad,field,164,Kolkata Knight Riders,58,107,88,10,10.875,7.295454545454546,1
406,6,Kolkata,Chennai Super Kings,bat,119,Kolkata Knight Riders,56,64,48,6,4.666666666666667,8.0,1
440,3,Chandigarh,Kings XI Punjab,field,150,Sunrisers Hyderabad,109,42,9,3,5.891891891891892,28.0,0
617,4,Bangalore,Mumbai Indians,field,151,Royal Challengers Bangalore,82,70,38,7,6.0,11.052631578947368,1
193,4,Chandigarh,Kings XI Punjab,field,183,Rajasthan Royals,65,119,86,9,11.470588235294118,8.30232558139535,0
492,5,Bangalore,Rajasthan Royals,bat,190,Royal Challengers Bangalore,4,187,115,10,4.8,9.756521739130434,1
11413,5,Visakhapatnam,Delhi Capitals,field,171,Sunrisers Hyderabad,58,114,79,10,8.487804878048781,8.658227848101266,1
541,3,Mumbai,Sunrisers Hyderabad,bat,157,Mumbai Indians,106,52,27,6,6.838709677419355,11.555555555555555,0
370,3,Mumbai,Mumbai Indians,field,140,Kolkata Knight Riders,61,80,51,8,5.304347826086956,9.411764705882353,0
307,3,Chennai,Royal Challengers Bangalore,bat,205,Chennai Super Kings,68,138,63,6,7.157894736842105,13.142857142857142,0
367,4,Bangalore,Mumbai Indians,field,171,Royal Challengers Bangalore,36,136,80,7,5.4,10.2,1
246,2,Jaipur,Kolkata Knight Riders,field,159,Rajasthan Royals,77,83,70,9,9.24,7.114285714285714,1
1,5,Hyderabad,Royal Challengers Bangalore,field,207,Sunrisers Hyderabad,154,54,19,4,9.148514851485148,17.05263157894737,0
139,2,Durban,Kings XI Punjab,bat,145,Royal Challengers Bangalore,120,26,16,6,6.923076923076923,9.75,0
499,1,Ranchi,Royal Challengers Bangalore,bat,138,Chennai Super Kings,135,4,5,6,7.043478260869565,4.8,1
423,4,Hyderabad,Sunrisers Hyderabad,bat,129,Mumbai Indians,126,4,20,8,7.56,1.2,1
219,4,Jaipur,Rajasthan Royals,field,174,Mumbai Indians,17,158,98,7,4.636363636363637,9.673469387755102,0
11339,1,Hyderabad,Kings XI Punjab,field,232,Sunrisers Hyderabad,24,209,101,9,7.578947368421052,12.415841584158416,0
7905,5,Mohali,Chennai Super Kings,field,198,Kings XI Punjab,187,12,7,5,9.929203539823009,10.285714285714286,0
181,4,Bangalore,Royal Challengers Bangalore,bat,203,Kings XI Punjab,99,105,56,9,9.28125,11.25,1
11317,1,Kolkata,Delhi Capitals,field,183,Kolkata Knight Riders,21,163,107,10,9.692307692307692,9.14018691588785,1
37,1,Mumbai,Mumbai Indians,bat,162,Royal Challengers Bangalore,129,34,23,5,7.979381443298969,8.869565217391305,1
242,6,Bangalore,Mumbai Indians,field,140,Royal Challengers Bangalore,7,134,114,10,7.0,7.052631578947368,1
555,5,Kolkata,Sunrisers Hyderabad,field,167,Kolkata Knight Riders,15,153,109,8,8.181818181818182,8.422018348623853,0
415,6,Kolkata,Kolkata Knight Riders,bat,149,Kings XI Punjab,52,98,78,8,7.428571428571429,7.538461538461538,1
211,6,Chennai,Mumbai Indians,bat,165,Chennai Super Kings,132,34,6,2,6.947368421052632,34.0,0
206,4,Chennai,Rajasthan Royals,bat,246,Chennai Super Kings,10,237,116,10,15.0,12.258620689655173,0
7921,4,Jaipur,Rajasthan Royals,bat,152,Sunrisers Hyderabad,130,23,8,5,6.964285714285714,17.25,0
397,2,Kolkata,Sunrisers Hyderabad,bat,180,Kolkata Knight Riders,13,168,106,10,5.571428571428571,9.50943396226415,0
488,2,Bangalore,Royal Challengers Bangalore,field,198,Kings XI Punjab,85,114,46,4,6.891891891891892,14.869565217391305,0
7949,6,Pune,Chennai Super Kings,field,164,Kings XI Punjab,88,77,36,6,6.285714285714286,12.833333333333334,1
320,2,Chennai,Chennai Super Kings,bat,205,Royal Challengers Bangalore,173,33,10,6,9.436363636363636,19.8,1
7937,4,Indore,Kings XI Punjab,field,250,Kolkata Knight Riders,58,193,86,9,10.235294117647058,13.465116279069768,0
518,4,Kolkata,Kolkata Knight Riders,field,168,Mumbai Indians,3,166,116,10,4.5,8.586206896551724,1
333,3,Chandigarh,Royal Challengers Bangalore,field,163,Kings XI Punjab,105,59,39,7,7.777777777777778,9.076923076923077,1
153,2,Port Elizabeth,Royal Challengers Bangalore,bat,157,Mumbai Indians,1,157,118,10,3.0,7.983050847457627,0
413,3,Kolkata,Mumbai Indians,bat,159,Kolkata Knight Riders,4,156,117,10,8.0,8.0,1
112,2,Kolkata,Kolkata Knight Riders,bat,174,Kings XI Punjab,45,130,88,9,8.4375,8.863636363636363,1
280,6,Bangalore,Kings XI Punjab,field,205,Royal Challengers Bangalore,96,110,24,3,6.0,27.5,0
11412,1,Chennai,Mumbai Indians,bat,136,Chennai Super Kings,134,3,17,6,7.805825242718447,1.0588235294117647,1
490,4,Mumbai,Chennai Super Kings,field,157,Mumbai Indians,160,-2,2,4,8.135593220338983,-6.0,1
453,4,Hyderabad,Sunrisers Hyderabad,bat,130,Kolkata Knight Riders,15,116,104,10,5.625,6.6923076923076925,1
7951,5,Kolkata,Rajasthan Royals,field,179,Kolkata Knight Riders,91,89,55,9,8.4,9.709090909090909,0
86,3,Mumbai,Mumbai Indians,field,103,Rajasthan Royals,97,7,33,7,6.689655172413793,1.2727272727272727,1
576,2,Kolkata,Chennai Super Kings,field,202,Mumbai Indians,108,95,34,7,7.534883720930233,16.764705882352942,0
11326,2,Kolkata,Kolkata Knight Riders,field,219,Royal Challengers Bangalore,97,123,46,6,7.864864864864865,16.043478260869566,0
101,5,Jaipur,Royal Challengers Bangalore,field,197,Rajasthan Royals,41,157,55,5,3.7846153846153845,17.12727272727273,0
181,2,Bangalore,Royal Challengers Bangalore,bat,203,Kings XI Punjab,155,49,28,8,10.108695652173912,10.5,1
434,4,Mumbai,Kolkata Knight Riders,bat,170,Mumbai Indians,24,147,98,9,6.545454545454546,9.0,0
11330,3,Bengaluru,Chennai Super Kings,field,165,Royal Challengers Bangalore,15,151,99,8,4.285714285714286,9.151515151515152,0
63,5,Mumbai,Royal Challengers Bangalore,bat,165,Mumbai Indians,10,156,109,10,5.454545454545454,8.587155963302752,1
554,3,Chennai,Royal Challengers Bangalore,bat,148,Chennai Super Kings,4,145,117,10,8.0,7.435897435897436,0
423,1,Hyderabad,Sunrisers Hyderabad,bat,129,Mumbai Indians,53,77,71,8,6.489795918367347,6.507042253521127,1
11331,3,Jaipur,Delhi Capitals,field,196,Rajasthan Royals,114,83,45,8,9.12,11.066666666666666,1
7931,5,Indore,Kings XI Punjab,field,160,Rajasthan Royals,43,118,79,8,6.2926829268292686,8.962025316455696,1
334,1,Chennai,Chennai Super Kings,bat,146,Rajasthan Royals,95,52,35,9,6.705882352941177,8.914285714285715,1
71,1,Chennai,Chennai Super Kings,bat,147,Kolkata Knight Riders,77,71,59,9,7.573770491803279,7.220338983050848,1
526,2,Ahmedabad,Rajasthan Royals,bat,164,Mumbai Indians,12,153,106,10,5.142857142857143,8.660377358490566,1
461,3,Abu Dhabi,Rajasthan Royals,field,133,Sunrisers Hyderabad,29,105,87,8,5.2727272727272725,7.241379310344827,1
597,4,Chandigarh,Kings XI Punjab,field,189,Mumbai Indians,63,127,68,8,7.269230769230769,11.205882352941176,0
11328,4,Delhi,Delhi Capitals,field,168,Kings XI Punjab,125,44,38,8,9.146341463414634,6.947368421052632,1
299,3,Mumbai,Rajasthan Royals,bat,133,Mumbai Indians,6,128,117,10,12.0,6.564102564102564,1
7950,2,Mumbai,Chennai Super Kings,field,148,Sunrisers Hyderabad,37,112,82,7,5.842105263157895,8.195121951219512,1
211,3,Chennai,Mumbai Indians,bat,165,Chennai Super Kings,60,106,69,9,7.0588235294117645,9.217391304347826,0
11152,6,Delhi,Sunrisers Hyderabad,field,134,Delhi Capitals,122,13,24,5,7.625,3.25,1
7,4,Mumbai,Mumbai Indians,field,178,Kolkata Knight Riders,160,19,8,4,8.571428571428571,14.25,1
7939,5,Pune,Chennai Super Kings,field,192,Sunrisers Hyderabad,154,39,25,8,9.726315789473684,9.36,1
7951,4,Kolkata,Rajasthan Royals,field,179,Kolkata Knight Riders,70,110,68,9,8.076923076923077,9.705882352941176,0
11343,2,Mohali,Kolkata Knight Riders,field,186,Kings XI Punjab,93,94,64,9,9.964285714285714,8.8125,1
496,1,Hyderabad,Kings XI Punjab,field,205,Sunrisers Hyderabad,125,81,65,7,13.636363636363637,7.476923076923077,1
11412,3,Chennai,Mumbai Indians,bat,136,Chennai Super Kings,37,100,87,8,6.7272727272727275,6.896551724137931,1
190,6,Chennai,Chennai Super Kings,field,136,Kings XI Punjab,109,28,30,6,7.266666666666667,5.6,0
11333,6,Bengaluru,Kings XI Punjab,field,213,Royal Challengers Bangalore,147,67,30,7,9.8,13.4,0
617,8,Bangalore,Mumbai Indians,field,151,Royal Challengers Bangalore,16,136,100,9,4.8,8.16,1
381,3,Chennai,Kolkata Knight Riders,bat,190,Chennai Super Kings,83,108,69,9,9.764705882352942,9.391304347826088,1
7896,3,Kolkata,Kolkata Knight Riders,field,182,Royal Challengers Bangalore,106,77,57,7,10.095238095238095,8.105263157894736,1
157,2,Centurion,Mumbai Indians,bat,119,Kings XI Punjab,18,102,94,9,4.153846153846154,6.51063829787234,1
441,1,Ranchi,Kolkata Knight Riders,field,115,Royal Challengers Bangalore,4,112,107,9,1.8461538461538463,6.280373831775701,1
425,1,Chennai,Kings XI Punjab,bat,186,Chennai Super Kings,161,26,11,7,8.862385321100918,14.181818181818182,0
613,5,Visakhapatnam,Mumbai Indians,field,177,Sunrisers Hyderabad,58,120,55,3,5.3538461538461535,13.090909090909092,0
517,2,Bangalore,Kolkata Knight Riders,field,199,Kings XI Punjab,168,32,22,6,10.285714285714286,8.727272727272727,1
36,1,Hyderabad,Kolkata Knight Riders,field,209,Sunrisers Hyderabad,50,160,83,8,8.108108108108109,11.566265060240964,0
464,3,Sharjah,Kings XI Punjab,field,191,Rajasthan Royals,59,133,75,8,7.866666666666666,10.64,1
344,1,Kolkata,Royal Challengers Bangalore,bat,190,Kolkata Knight Riders,9,182,107,9,4.153846153846154,10.205607476635514,0
11315,6,Mumbai,Mumbai Indians,field,204,Kings XI Punjab,194,11,6,4,10.210526315789474,11.0,1
425,1,Chennai,Kings XI Punjab,bat,186,Chennai Super Kings,146,41,17,7,8.504854368932039,14.470588235294118,0
157,1,Centurion,Mumbai Indians,bat,119,Kings XI Punjab,1,119,119,10,6.0,6.0,1
418,1,Chennai,Kolkata Knight Riders,field,200,Chennai Super Kings,99,102,47,8,8.136986301369863,13.02127659574468,0
11316,1,Jaipur,Chennai Super Kings,field,158,Rajasthan Royals,103,56,29,6,6.791208791208791,11.586206896551724,1
7917,4,Bengaluru,Chennai Super Kings,field,213,Royal Challengers Bangalore,109,105,44,6,8.605263157894736,14.318181818181818,1
251,5,Kolkata,Kolkata Knight Riders,field,81,Rajasthan Royals,81,1,37,8,5.855421686746988,0.16216216216216217,1
513,5,Mumbai,Mumbai Indians,field,189,Rajasthan Royals,34,156,103,9,12.0,9.087378640776699,1
367,1,Bangalore,Mumbai Indians,field,171,Royal Challengers Bangalore,51,121,65,5,5.5636363636363635,11.169230769230769,1
570,4,Mumbai,Kolkata Knight Riders,bat,199,Rajasthan Royals,100,100,56,7,9.375,10.714285714285714,0
12,4,Bangalore,Mumbai Indians,field,142,Royal Challengers Bangalore,96,47,26,5,6.127659574468085,10.846153846153847,1
499,4,Ranchi,Royal Challengers Bangalore,bat,138,Chennai Super Kings,68,71,44,9,5.368421052631579,9.681818181818182,1
187,4,Ahmedabad,Kolkata Knight Riders,bat,168,Rajasthan Royals,47,122,74,9,6.130434782608695,9.891891891891891,0
569,1,Chandigarh,Chennai Super Kings,bat,130,Kings XI Punjab,99,32,41,8,7.518987341772152,4.682926829268292,1
37,6,Mumbai,Mumbai Indians,bat,162,Royal Challengers Bangalore,58,105,78,9,8.285714285714286,8.076923076923077,1
456,5,Kolkata,Mumbai Indians,bat,165,Rajasthan Royals,41,125,85,10,7.0285714285714285,8.823529411764707,1
11320,2,Kolkata,Chennai Super Kings,field,170,Kolkata Knight Riders,137,34,16,5,7.903846153846154,12.75,1
7897,1,Hyderabad,Sunrisers Hyderabad,field,133,Rajasthan Royals,87,47,65,9,9.49090909090909,4.338461538461538,1
500,6,Hyderabad,Kolkata Knight Riders,bat,142,Sunrisers Hyderabad,88,55,42,8,6.769230769230769,7.857142857142857,1
386,4,Chennai,Chennai Super Kings,bat,148,Mumbai Indians,59,90,56,6,5.53125,9.642857142857142,0
580,7,Bangalore,Sunrisers Hyderabad,field,227,Royal Challengers Bangalore,64,164,77,9,8.930232558139535,12.779220779220779,0
450,1,Dharamsala,Mumbai Indians,field,183,Kings XI Punjab,108,76,29,5,7.1208791208791204,15.724137931034482,0
435,1,Hyderabad,Sunrisers Hyderabad,field,223,Chennai Super Kings,101,123,41,4,7.670886075949367,18.0,0
84,3,Bangalore,Kings XI Punjab,field,126,Royal Challengers Bangalore,98,29,45,7,7.84,3.8666666666666667,1
11148,5,Chennai,Rajasthan Royals,field,182,Chennai Super Kings,0,183,115,9,0.0,9.547826086956523,0
597,5,Chandigarh,Kings XI Punjab,field,189,Mumbai Indians,138,52,19,7,8.198019801980198,16.42105263157895,0
624,2,Kolkata,Royal Challengers Bangalore,field,183,Kolkata Knight Riders,126,58,34,9,8.790697674418604,10.235294117647058,1
319,5,Mumbai,Rajasthan Royals,field,197,Mumbai Indians,71,127,67,8,8.037735849056604,11.373134328358208,0
11335,4,Chennai,Chennai Super Kings,field,159,Mumbai Indians,93,67,32,4,6.340909090909091,12.5625,0
317,2,Bangalore,Royal Challengers Bangalore,field,165,Kolkata Knight Riders,58,108,52,5,5.117647058823529,12.461538461538462,0
478,4,Ranchi,Kolkata Knight Riders,bat,148,Chennai Super Kings,72,77,50,5,6.171428571428572,9.24,0
